# ---------------------------------------------------------
# STRING METHODS
DATETIME Type	DATETIME data has two parts: an ABL date and an ABL time. The unit of time is milliseconds from midnight. 	
DATETIME-TZ Type	DATETIME-TZ data has three parts: an ABL date, an ABL time, and an integer representing the time zone offset from Coordinated Universal Time (UTC). The unit of time is milliseconds from midnight. The unit of time zone offset is minutes.	
DECIMAL Type	DECIMAL data consists of decimal numbers up to 50 digits in length including up to 10 digits to the right of the decimal point.	
HANDLE Type	A HANDLE is a pointer to an ABL handle-based object. This can be a compile-time defined static object or a run-time defined dynamic object.
Note: HANDLE and WIDGET-HANDLE can be assigned to each other and used interchangeably. WIDGET-HANDLE is supported only for backward compatibility.	
INT64 Type	An INT64 consists of 64-bit data (whole numbers).	
INTEGER Type	An INTEGER consists of 32-bit data (whole numbers).	
LOGICAL Type	LOGICAL data evaluates to TRUE or FALSE (or YES or NO).	
LONGCHAR Type	A LONGCHAR consists of CHARACTER data that is not limited to 32K in size. You can use a LONGCHAR to manipulate the character contents of a CLOB database or temp-table field in ABL. 	
MEMPTR Type	A MEMPTR contains a sequence of bytes in memory. You can use a MEMPTR to manipulate the contents of a BLOB database or temp-table field in ABL.	
RAW Type	RAW data can be any kind of data, even data from non-OpenEdge databases. It is not converted in any way.	
RECID Type	A RECID is a unique internal identifier for a record within a single database storage area. Note: RECID is supported mainly for backward compatibility. For most applications, use ROWID instead.	
ROWID Type	A ROWID is a unique internal identifier for a record within a single database storage area.	
WIDGET-HANDLE Type	A WIDGET-HANDLE is a pointer to an ABL handle-based object. Note: HANDLE and WIDGET-HANDLE can be assigned to each other and used interchangeably. WIDGET-HANDLE is supported only for backward compatibility.	
# ---------------------------------------------------------
# DEFINE AND CREATE PHRASES
DEFINE BROWSE Statement	Defines and creates either a read-only or updateable browse widget that is created at compile time for use in one or more procedures, or within a single class.	DEFINE { [ [ NEW ] SHARED ] | [ PRIVATE ] }<br>&nbsp;&nbsp;BROWSE browse-name<br>&nbsp;&nbsp;QUERY query-name&nbsp;&nbsp;<br>&nbsp;&nbsp;&nbsp;&nbsp;[ SHARE-LOCK | EXCLUSIVE-LOCK | NO-LOCK ] [ NO-WAIT ] <br>&nbsp;&nbsp;DISPLAY<br>&nbsp;&nbsp;&nbsp;&nbsp;{ column-list | record [ EXCEPT field ... ] } <br>&nbsp;&nbsp;&nbsp;&nbsp;[ browse-enable-phrase ] <br>&nbsp;&nbsp;&nbsp;&nbsp;{ browse-options-phrase }<br>&nbsp;&nbsp;&nbsp;&nbsp;[ CONTEXT-HELP-ID expression ]<br>&nbsp;&nbsp;&nbsp;&nbsp;[ DROP-TARGET ]<br>&nbsp;&nbsp;&nbsp;&nbsp;[ TOOLTIP tooltip ]	
DEFINE BUFFER Statement	ABL provides you with one default buffer for each table or temp-table that you use in a procedure or class. ABL uses that buffer to store one record at a time from the table as the records are needed during the procedure or class. If you need more than one record or buffer at a time for a table, you can use this statement to define alternate buffers that are created at compile time for use in one or more procedures, or within a single class or class hierarchy.	DEFINE { [ [ NEW ] SHARED ] | [ PRIVATE | PROTECTED ] [ STATIC ] }<br>&nbsp;&nbsp;BUFFER buffer-name <br>&nbsp;&nbsp;FOR [ TEMP-TABLE ] table-name <br>&nbsp;&nbsp;[ PRESELECT ] [ LABEL label-name ]<br>&nbsp;&nbsp;[ NAMESPACE-URI namespace ] [ NAMESPACE-PREFIX prefix ]<br>&nbsp;&nbsp;[ XML-NODE-NAME node-name ]	
DEFINE BUTTON Statement	The DEFINE BUTTON statement defines a push button that is created at compile time for use within the current procedure or class.	DEFINE [ PRIVATE ] BUTTON button<br>&nbsp;&nbsp;[ AUTO-GO | AUTO-ENDKEY ]<br>&nbsp;&nbsp;[ DEFAULT ]<br>&nbsp;&nbsp;[ BGCOLOR expression ]<br>&nbsp;&nbsp;&nbsp;&nbsp; [ CONTEXT-HELP-ID expression ]<br>&nbsp;&nbsp;[ DCOLOR expression ]<br>&nbsp;&nbsp;[ DROP-TARGET ]<br>&nbsp;&nbsp;[ FGCOLOR expression ]<br>&nbsp;&nbsp;[ FONT number ]<br>&nbsp;&nbsp;[ IMAGE-DOWN image-phrase ]<br>&nbsp;&nbsp;[ { IMAGE | IMAGE-UP } image-phrase ]<br>&nbsp;&nbsp;[ IMAGE-INSENSITIVE image-phrase ]<br>&nbsp;&nbsp;[ MOUSE-POINTER name ]<br>&nbsp;&nbsp;[ LABEL label ]<br>&nbsp;&nbsp;[ LIKE button ]<br>&nbsp;&nbsp;[ PFCOLOR expression ]<br>&nbsp;&nbsp;[ size-phrase ]<br>&nbsp;&nbsp;[ NO-FOCUS [ FLAT-BUTTON ] ]<br>&nbsp;&nbsp;[ NO-CONVERT-3D-COLORS ]<br>&nbsp;&nbsp;[ TOOLTIP tooltip ]<br>&nbsp;&nbsp;{ [ trigger-phrase ] }	
DEFINE DATASET Statement	Defines a ProDataSet object that is created at compile time, and allows you to identifythe temp-table buffers it incorporates and define the data relations between those buffers. This statement defines the ProDataSet for use in one or more external procedures, or within a single class or class hierarchy.	DEFINE { [ [ NEW ] SHARED ] | [ PRIVATE | PROTECTED ] [ STATIC ] }<br>&nbsp;&nbsp;DATASET dataset-name <br>&nbsp;&nbsp;[ NAMESPACE-URI namespace ] [ NAMESPACE-PREFIX prefix ]<br>&nbsp;&nbsp;[ XML-NODE-NAME node-name ] [ SERIALIZE-NAME serialize-name ] <br>&nbsp;&nbsp;[ XML-NODE-TYPE node-type ] [ SERIALIZE-HIDDEN ]<br>&nbsp;&nbsp;[ REFERENCE-ONLY ] FOR buffer-name [ , buffer-name ] ...<br>&nbsp;&nbsp;[ DATA-RELATION [ data-rel-name ] FOR data-rel-spec ] ...<br>&nbsp;&nbsp;[ PARENT-ID-RELATION [ data-rel-name ] FOR parent-id-rel-spec ] ...	
DEFINE DATA-SOURCE Statement	Defines a data-source object that is created at compile time for use in an external procedure or within a single class or class hierarchy. 	DEFINE [ PRIVATE | PROTECTED ] [ STATIC ] DATA-SOURCE data-source-name <br>&nbsp;&nbsp;FOR [ QUERY query-name ] <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ source-buffer-phrase [ , source-buffer-phrase ] ... ]	
DEFINE EVENT Statement	Defines an ABL class event, declares a class event prototype in an ABL interface, or overrides an abstract class event inherited from an ABL or .NET abstract super class. A class event is a member of the class in which it is defined. You can publish a non-abstract event from within the defining class definition using the built-in Publish(&nbsp;) event method in response to a condition that you determine. You can subscribe a class method or internal procedure as a handler for any accessible event (abstract or non-abstract) using the built-in Subscribe(&nbsp;) event method. This handler executes whenever the event is published. You can also unsubscribe any handler using the built-in Unsubscribe(&nbsp;) event method. The following description begins with general syntax for defining a class event.	DEFINE [ PRIVATE | PROTECTED | PUBLIC ] [ STATIC | ABSTRACT ] [ OVERRIDE ]<br>&nbsp;&nbsp;EVENT event-name signature-spec 	DEFINE [ PUBLIC ] EVENT event-name signature-spec	DEFINE [ PROTECTED | PUBLIC ] [ OVERRIDE ] ABSTRACT <br>&nbsp;&nbsp;EVENT event-name signature-spec	
DEFINE FRAME Statement	Defines and creates a frame or dialog box that is created at compile time for use in one or more procedures, or within a single class.	DEFINE { [ [ NEW ] SHARED ] | [ PRIVATE ] } FRAME frame<br>&nbsp;&nbsp;[ form-item ... ]<br>&nbsp;&nbsp;[{ HEADER | BACKGROUND } head-item ... ]<br>&nbsp;&nbsp;{ [ frame-phrase ] }	DEFINE { [ [ NEW ] SHARED ] | [ PRIVATE ] } FRAME frame<br>&nbsp;&nbsp;record [ EXCEPT field ... ]<br>&nbsp;&nbsp;{ [ frame-phrase ] }	
DEFINE IMAGE Statement	Defines an image widget in a graphical interface that is created at compile time for use within a single procedure or class. An image widget is a container for an operating system image file and can be displayed in a form or used as a form background.	DEFINE [ PRIVATE ] IMAGE image-name<br>&nbsp;&nbsp;{ image-phrase | LIKE image | size-phrase }<br>&nbsp;&nbsp;[ BGCOLOR expression ]<br>&nbsp;&nbsp;[ FGCOLOR expression ]<br>&nbsp;&nbsp;[ CONVERT-3D-COLORS ]<br>&nbsp;&nbsp;[ TOOLTIP tooltip ]<br>&nbsp;&nbsp;[ STRETCH-TO-FIT [ RETAIN-SHAPE ] ] [ TRANSPARENT ]	
DEFINE MENU Statement	Defines a menu widget that is created at compile time for use in one or more procedures, or within a single class. You can use a menu widget as a pop-up menu or a menu bar.	DEFINE { [ [ NEW ] SHARED ] | [ PRIVATE ] } MENU menu-name <br>&nbsp;&nbsp;[ FGCOLOR expression ]<br>&nbsp;&nbsp;[ BGCOLOR expression ] <br>&nbsp;&nbsp;[ DCOLOR expression ]<br>&nbsp;&nbsp;[ PFCOLOR expression ]<br>&nbsp;&nbsp;[ FONT number ]<br>&nbsp;&nbsp;[ { TITLE title } | MENUBAR ] <br>&nbsp;&nbsp;[ { LIKE menu } | menu-element-descriptor ... ]	
DEFINE PARAMETER Statement	Defines a run-time parameter in an ABL procedure (internal or external), Windows dynamic link library (DLL) routine, UNIX shared library routine, or ActiveX control event procedure. 	DEFINE { INPUT | OUTPUT | INPUT-OUTPUT | RETURN } PARAMETER parameter<br>&nbsp;&nbsp;{ { &nbsp;&nbsp;AS [ HANDLE TO ] primitive-type-name <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;AS [ CLASS ] { object-type-name }<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;LIKE field &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;} [ EXTENT [ constant ] ] } <br>&nbsp;&nbsp;[ [ NOT ] CASE-SENSITIVE ]<br>&nbsp;&nbsp;[ FORMAT string ]<br>&nbsp;&nbsp;[ DECIMALS n ]<br>&nbsp;&nbsp;[ INITIAL<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{ constant | { [ constant [ , constant ] ... ] } } ]<br>&nbsp;&nbsp;[ COLUMN-LABEL label ]<br>&nbsp;&nbsp;[ LABEL string ]<br>&nbsp;&nbsp;[ NO-UNDO ]	DEFINE PARAMETER BUFFER buffer-name FOR [ TEMP-TABLE ] table-name<br>&nbsp;&nbsp;[ PRESELECT ]	DEFINE { INPUT | OUTPUT | INPUT-OUTPUT } PARAMETER<br>&nbsp;&nbsp;{&nbsp;&nbsp;&nbsp;TABLE FOR temp-table-name [ APPEND ] [ BIND ] [ BY-VALUE ]<br>&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;TABLE-HANDLE temp-table-handle [ BIND ] [ BY-VALUE ]<br>&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;DATASET FOR dataset-name [ APPEND ] [ BIND ] [ BY-VALUE ]<br>&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;DATASET-HANDLE dataset-handle [ BIND ] [ BY-VALUE ]<br>&nbsp;&nbsp;}	
DEFINE PROPERTY Statement	Defines a property of a class, declares a property prototype in an ABL interface, or overrides an abstract property inherited from an ABL or .NET abstract super class. A property is a named member of a class that allows you to read or write a value using the same syntax as a data member. However, a property can define special methods (accessors) that specify if and how the property can be read or written. The following description begins with the syntax for defining a property that you can both read and write.	DEFINE [ PRIVATE | PROTECTED | PUBLIC ] [ STATIC | ABSTRACT ] [ OVERRIDE ] <br>&nbsp;&nbsp;PROPERTY property-name <br>&nbsp;&nbsp;{ { <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;AS primitive-type-name |<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;AS [ CLASS ] object-type-name <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;} [ EXTENT [ constant ] ] }<br>&nbsp;&nbsp;[ INITIAL { constant | { [ constant [ , constant ] ... ] } } ]<br>&nbsp;&nbsp;[ NO-UNDO ]<br>&nbsp;&nbsp;{ <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ accessor-access-mode ] GET [ implementation ] . <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;SET [ implementation ] .<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;| <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;GET [ implementation ] .<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ accessor-access-mode ] SET [ implementation ] .<br>&nbsp;&nbsp;}	DEFINE [ PRIVATE | PROTECTED | PUBLIC ] [ STATIC | ABSTRACT ] [ OVERRIDE ] <br>&nbsp;&nbsp;PROPERTY property-name <br>&nbsp;&nbsp;{ { <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;AS primitive-type-name | <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;AS [ CLASS ] object-type-name <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;} [ EXTENT [ constant ] ] }<br>&nbsp;&nbsp;[ INITIAL { constant | { [ constant [ , constant ] ... ] } } ]<br>&nbsp;&nbsp;[ NO-UNDO ]<br>&nbsp;<br>&nbsp;&nbsp;GET [ implementation ] .	DEFINE [ PRIVATE | PROTECTED | PUBLIC ] [ STATIC | ABSTRACT ] [ OVERRIDE ] <br>&nbsp;&nbsp;PROPERTY property-name <br>&nbsp;&nbsp;{ { <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;AS primitive-type-name | <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;AS [ CLASS ] object-type-name <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;} [ EXTENT [ constant ] ] }<br>&nbsp;&nbsp;[ INITIAL { constant | { [ constant [ , constant ] ... ] } } ]<br>&nbsp;&nbsp;[ NO-UNDO ]<br>&nbsp;<br>&nbsp;&nbsp;SET [ implementation ] .	DEFINE [ PUBLIC ] PROPERTY property-name <br>&nbsp;&nbsp;{ { AS primitive-type-name | AS [ CLASS ] object-type-name }<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ EXTENT [ constant ] ] [ NO-UNDO ] }<br>&nbsp;&nbsp;{ GET.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;SET.<br>&nbsp;&nbsp;&nbsp;&nbsp;|<br>&nbsp;&nbsp;&nbsp;&nbsp;GET.<br>&nbsp;&nbsp;&nbsp;&nbsp;|<br>&nbsp;&nbsp;&nbsp;&nbsp;SET. }	DEFINE [ PROTECTED | PUBLIC ] [ OVERRIDE ] ABSTRACT PROPERTY property-name <br>&nbsp;&nbsp;{ { AS primitive-type-name | AS [ CLASS ] object-type-name }<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ EXTENT [ constant ] ] [ NO-UNDO ] }<br>&nbsp;&nbsp;{ GET.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;SET.<br>&nbsp;&nbsp;&nbsp;&nbsp;|<br>&nbsp;&nbsp;&nbsp;&nbsp;GET.<br>&nbsp;&nbsp;&nbsp;&nbsp;|<br>&nbsp;&nbsp;&nbsp;&nbsp;SET. }	
DEFINE QUERY Statement	Defines a query that is created at compile time for use in one or more procedures, or within a single class or class hierarchy. A query can be opened with an OPEN QUERY statement, and records can be retrieved using a GET statement, BROWSE widget, or the FILL(&nbsp;) method on a ProDataSet object handle.	DEFINE { [ [ NEW ] SHARED ] | [ PRIVATE | PROTECTED ] [ STATIC ] }<br>&nbsp;&nbsp;QUERY query<br>&nbsp;&nbsp;FOR buffer-name [ field-list ] [ , buffer-name [ field-list ] ] ...<br>&nbsp;&nbsp;[ CACHE n ]<br>&nbsp;&nbsp;[ SCROLLING ]<br>&nbsp;&nbsp;[ RCODE-INFORMATION ]	
DEFINE RECTANGLE Statement	Defines a rectangle widget that is created at compile time for use within a single procedure or class.	DEFINE [ PRIVATE ] RECTANGLE rectangle [ LIKE rectangle2 ]<br>&nbsp;&nbsp;[ NO-FILL ]<br>&nbsp;&nbsp;[ { EDGE-CHARS width } | { EDGE-PIXELS width } ] <br>&nbsp;&nbsp;[ DCOLOR expression ]<br>&nbsp;&nbsp;[ BGCOLOR expression ]<br>&nbsp;&nbsp;[ FGCOLOR expression ]<br>&nbsp;&nbsp;[ GRAPHIC-EDGE ]<br>&nbsp;&nbsp;[ PFCOLOR expression ]<br>&nbsp;&nbsp;[ ROUNDED ]<br>&nbsp;&nbsp;[ GROUP-BOX ]<br>&nbsp;&nbsp;[ size-phrase ]<br>&nbsp;&nbsp;[ TOOLTIP tooltip ]<br>&nbsp;&nbsp;{ [ trigger-phrase ] }	
DEFINE STREAM Statement	Defines a stream for use in one or more procedures, or within a single class. Use this statement when you want to use streams other than the two ABL built-in unnamed streams. Using additional streams allows you to get input from more than one source simultaneously or to send output to more than one destination simultaneously. 	DEFINE { [ [ NEW [ GLOBAL ] ] SHARED ] | [ PRIVATE ] } STREAM stream-name	
DEFINE SUB-MENU Statement	Defines a submenu widget that is created at compile time for use within a single procedure or class. You can use a submenu widget as a pull-down menu within a menu bar or as a submenu of a pull-down menu or pop-up menu.	DEFINE [ PRIVATE ] SUB-MENU submenu<br>&nbsp;&nbsp;[ BGCOLOR expression ]<br>&nbsp;&nbsp;[ DCOLOR expression ]<br>&nbsp;&nbsp;[ FGCOLOR expression ] <br>&nbsp;&nbsp;[ PFCOLOR expression ]<br>&nbsp;&nbsp;[ FONT number ]<br>&nbsp;&nbsp;[ SUB-MENU-HELP ] <br>&nbsp;&nbsp;{ LIKE menu | menu-element-descriptor ... }	
DEFINE TEMP-TABLE Statement	Defines a temp-table that is created at compile time. The AVM stores temp-tables in memory (with potential overflow to disk). Among procedures, a temp-table can be either global (lasting for the entire ABL session) or local (lasting only as long as the procedure that creates it), and either shared (visible to other procedures that want to access it) or non-shared (visible just to the procedure that created it). In a class, a temp-table can be defined for use within a single class or class hierarchy.	DEFINE { [ [ NEW [ GLOBAL ] ] SHARED ] | <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ PRIVATE | PROTECTED ] [ STATIC ] }<br>&nbsp;&nbsp;TEMP-TABLE temp-table-name [ NO-UNDO ] <br>&nbsp;&nbsp;[ NAMESPACE-URI namespace ] [ NAMESPACE-PREFIX prefix ]<br>&nbsp;&nbsp;[ XML-NODE-NAME node-name ] [ SERIALIZE-NAME serialize-name ] <br>&nbsp;&nbsp;[ REFERENCE-ONLY ]<br>&nbsp;&nbsp;[ LIKE table-name<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ VALIDATE ]<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ USE-INDEX index-name [ AS PRIMARY ] ] ... ]<br>&nbsp;&nbsp;[ LIKE-SEQUENTIAL table-name<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ VALIDATE ]<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ USE-INDEX index-name [ AS PRIMARY ] ] ... ]<br>&nbsp;&nbsp;[ RCODE-INFORMATION ] <br>&nbsp;&nbsp;[ BEFORE-TABLE before-table-name ] <br>&nbsp;&nbsp;[ FIELD field-name<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{ AS data-type |&nbsp;&nbsp;LIKE field [ VALIDATE ] }<br>&nbsp;&nbsp;[ field-options ]<br>&nbsp;&nbsp;] ...<br>&nbsp;&nbsp;[ INDEX index-name<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ [ AS | IS ] [ UNIQUE ] [ PRIMARY ] [ WORD-INDEX ] ]<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{ index-field [ ASCENDING | DESCENDING ] } ...<br>&nbsp;&nbsp;] ...	
DEFINE VARIABLE Statement	Defines a variable for use in one or more procedures, a variable data member of a class for use in a single class or class hierarchy, or by other classes and procedures, or a variable data element for use within a single class-based method.	DEFINE { [ [ NEW [ GLOBAL ] ] SHARED ] | <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ PRIVATE | PROTECTED | PUBLIC ] [ STATIC ] }<br>&nbsp;&nbsp;VARIABLE variable-name<br>&nbsp;&nbsp;{ { &nbsp;&nbsp;AS primitive-type-name <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;AS [ CLASS ] { object-type-name }<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;LIKE field &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;} [ EXTENT [ constant ] ] } <br>&nbsp;&nbsp;[ BGCOLOR expression ]<br>&nbsp;&nbsp;[ COLUMN-LABEL label ]<br>&nbsp;&nbsp;[ CONTEXT-HELP-ID expression ]<br>&nbsp;&nbsp;[ DCOLOR expression ]<br>&nbsp;&nbsp;[ DECIMALS n ]<br>&nbsp;&nbsp;[ DROP-TARGET ]<br>&nbsp;&nbsp;[ FONT expression ]<br>&nbsp;&nbsp;[ FGCOLOR expression ]<br>&nbsp;&nbsp;[ FORMAT string ]<br>&nbsp;&nbsp;[ INITIAL<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{ constant | { [ constant [ , constant ] ... ] } } ]<br>&nbsp;&nbsp;[ LABEL string [ , string ] ... ]<br>&nbsp;&nbsp;[ MOUSE-POINTER expression ]<br>&nbsp;&nbsp;[ NO-UNDO ]<br>&nbsp;&nbsp;[ [ NOT ] CASE-SENSITIVE ]<br>&nbsp;&nbsp;[ PFCOLOR expression ]<br>&nbsp;&nbsp;{ [ view-as-phrase ] }<br>&nbsp;&nbsp;{ [ trigger-phrase ] }	
DEFINE WORKFILE Statement	See the DEFINE WORK-TABLE statement reference entry.	DEFINE { [ [ NEW ] SHARED ] | [ PRIVATE ] }<br>&nbsp;&nbsp;{ WORK-TABLE | WORKFILE } work-table-name<br>&nbsp;&nbsp;[ NO-UNDO ]<br>&nbsp;&nbsp;[ LIKE tablename ]<br>&nbsp;&nbsp;[ FIELD field-name<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{&nbsp;&nbsp;&nbsp;&nbsp; AS data-type<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; |&nbsp;&nbsp;LIKE field<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;}<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ field-options ]<br>&nbsp;&nbsp;] ...	
DEFINE WORK-TABLE Statement	Defines a work table (a temp-table stored in memory) for use in one or more procedures, or within a single class. 	DEFINE { [ [ NEW ] SHARED ] | [ PRIVATE ] }<br>&nbsp;&nbsp;{ WORK-TABLE | WORKFILE } work-table-name [ NO-UNDO ]<br>&nbsp;&nbsp;[ LIKE tablename [ VALIDATE ] ]<br>&nbsp;&nbsp;[ FIELD field-name { AS data-type | LIKE field }<br>&nbsp;&nbsp;&nbsp;&nbsp;[ field-options ] ] ...	
CREATE ALIAS Statement	Creates an alias for a database. Once an alias is created, it can be used in place of the database&#8217;s logical name. 	CREATE ALIAS alias-string | value ( expression )<br>  FOR DATABASE logical-name-string | value ( expression )<br>  [ NO-ERROR ]	
CREATE BROWSE Statement	Creates a dynamic read-only browse widget or a dynamic updateable browse widget. Add browse columns to the widget with the ADD-LIKE-COLUMN, ADD-COLUMNS-FROM, and ADD-CALC-COLUMN methods. Specify the query for the widget with the QUERY attribute.	CREATE BROWSE handle<br>  [ IN WIDGET-POOL widget-pool-name ]<br>  [ ASSIGN { attribute=expression } ... ]<br>  [ trigger-phrase ]	
CREATE BUFFER Statement	Creates a dynamic buffer object.	CREATE BUFFER handle FOR TABLE { table-name | table-handle | buffer-handle }<br>  [ BUFFER-NAME buffer-name ]<br>  [ IN WIDGET-POOL widget-pool-name ]	
CREATE CALL Statement	Creates a call object, then stores a handle to it in the handle variable specified. The call object, its attributes, and its methods, are used by applications to invoke logic dynamically.	CREATE CALL handle [ IN WIDGET-POOL widget-pool ] [ NO-ERROR ]	
